Trial,Ram,Num Users,Date & Time,Trans,Elap Time,Data Trans,Resp Time,Trans Rate,Throughput,Concurrent,OKAY,Failed
1,365568,40,1/2/2014 20:55:02,2533,4.95,24,0.08,511.72,4.85,39.59,2533,0
1,365568,60,1/2/2014 20:55:12,2379,4.96,22,0.12,479.64,4.44,58.87,2379,0
1,365568,80,1/2/2014 20:55:22,801,4.95,7,0.15,161.82,1.41,24.06,801,0
1,365568,100,1/2/2014 20:55:32,1120,4.95,10,0.19,226.26,2.02,43.11,1120,0
1,365568,120,1/2/2014 20:55:42,1953,4.95,18,0.27,394.55,3.64,105.29,1953,0
4,104856,1,1/2/2014 18:41:21,1632,4.96,15,0,329.03,3.02,0.9,1632,0
5,104856,1,1/2/2014 18:47:50,1544,4.95,14,0,311.92,2.83,0.94,1544,0
6,104856,1,1/2/2014 18:49:00,1287,4.96,12,0,259.48,2.42,0.99,1287,0
4,104856,20,1/2/2014 18:41:11,1468,4.95,13,0.04,296.57,2.63,11.95,1468,0
5,104856,20,1/2/2014 18:47:40,1021,4.96,9,0.04,205.85,1.81,7.98,1021,0
6,104856,20,1/2/2014 18:48:50,2520,4.95,24,0.04,509.09,4.85,19.88,2520,0
4,104856,40,1/2/2014 18:41:01,619,4.96,5,0.23,124.8,1.01,28.92,619,0
5,104856,40,1/2/2014 18:47:30,1594,4.96,15,0.12,321.37,3.02,39.6,1594,0
6,104856,40,1/2/2014 18:48:40,2033,4.95,19,0.09,410.71,3.84,38.37,2033,0
4,104856,60,1/2/2014 18:40:51,2507,4.96,23,0.12,505.44,4.64,59.09,2508,0
5,104856,60,1/2/2014 18:47:20,2514,4.95,23,0.12,507.88,4.65,59.15,2514,0
6,104856,60,1/2/2014 18:48:30,1464,4.96,13,0.12,295.16,2.62,34.07,1464,0
4,104856,80,1/2/2014 18:40:41,2250,4.96,21,0.16,453.63,4.23,73.72,2250,0
5,104856,80,1/2/2014 18:47:10,1811,4.96,17,0.17,365.12,3.43,60.76,1811,0
6,104856,80,1/2/2014 18:48:20,817,4.96,7,0.15,164.72,1.41,24.42,817,0
4,104856,100,1/2/2014 18:40:31,1273,4.95,12,0.19,257.17,2.42,48.27,1273,0
5,104856,100,1/2/2014 18:47:00,1057,4.94,10,0.19,213.97,2.02,41.03,1057,0
6,104856,100,1/2/2014 18:48:10,2182,4.95,20,0.22,440.81,4.04,97.63,2182,0
4,104856,120,1/2/2014 18:40:21,1369,4.73,13,0.34,289.43,2.75,97.53,1369,0
5,104856,120,1/2/2014 18:46:50,1685,4.21,16,0.28,400.24,3.8,110.38,1685,0
6,104856,120,1/2/2014 18:48:00,2518,4.96,24,0.23,507.66,4.84,116.34,2518,0
